epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,461.306,1.41431,1.10273,0.00579,0.6182,0.70112,0.68919,0.35445,1.79438,1.35786,0.00764,0.00113898,0.00113898,0.00113898
43,471.976,1.39722,1.08069,0.00578,0.57906,0.72661,0.66741,0.36899,1.60458,1.6286,0.00655,0.00113191,0.00113191,0.00113191
44,482.403,1.37983,1.05817,0.00561,0.63963,0.69765,0.69102,0.38122,1.64755,1.48943,0.00668,0.00112484,0.00112484,0.00112484
45,492.991,1.39327,1.09221,0.00569,0.69423,0.69597,0.72601,0.38847,1.72613,1.3021,0.00717,0.00111776,0.00111776,0.00111776
46,504.13,1.36824,1.03861,0.0056,0.52704,0.64128,0.58003,0.30477,1.73612,1.83041,0.00716,0.00111069,0.00111069,0.00111069
47,514.931,1.37601,1.04389,0.00558,0.60423,0.68708,0.67511,0.35542,1.76941,1.39322,0.00724,0.00110362,0.00110362,0.00110362
48,525.361,1.37719,1.06441,0.00561,0.62058,0.67973,0.68016,0.3697,1.62838,1.53967,0.0067,0.00109654,0.00109654,0.00109654
49,535.785,1.34293,0.98301,0.00547,0.63339,0.72277,0.71022,0.36379,1.74732,1.35353,0.00732,0.00108947,0.00108947,0.00108947
50,546.746,1.3581,1.03945,0.00553,0.55851,0.63622,0.62119,0.33479,1.72192,1.64183,0.00709,0.0010824,0.0010824,0.0010824
51,557.995,1.33492,1.02603,0.00538,0.52591,0.71761,0.62318,0.3316,1.78202,1.75141,0.00744,0.00107532,0.00107532,0.00107532
52,568.886,1.35026,0.9926,0.00547,0.67762,0.69124,0.71823,0.38637,1.70169,1.3861,0.00711,0.00106825,0.00106825,0.00106825
53,579.434,1.31654,0.95131,0.00537,0.684,0.66669,0.71445,0.40293,1.653,1.57683,0.0068,0.00106118,0.00106118,0.00106118
54,590.037,1.32007,0.97553,0.00539,0.65325,0.69331,0.69367,0.38576,1.66272,1.35878,0.00687,0.0010541,0.0010541,0.0010541
55,600.428,1.3051,0.94868,0.00531,0.68707,0.67492,0.71729,0.40374,1.71829,1.32894,0.00713,0.00104703,0.00104703,0.00104703
56,611.07,1.30732,0.97248,0.00531,0.63039,0.68579,0.69702,0.39304,1.6969,1.49674,0.00706,0.00103995,0.00103995,0.00103995
57,621.813,1.3229,0.96872,0.00542,0.65042,0.70982,0.70767,0.3961,1.65844,1.50969,0.00683,0.00103288,0.00103288,0.00103288
58,632.359,1.30562,0.93008,0.00531,0.63366,0.70221,0.68791,0.39474,1.64829,1.47548,0.00678,0.00102581,0.00102581,0.00102581
59,642.661,1.29872,0.92521,0.00521,0.55354,0.71753,0.64318,0.35404,1.67646,1.62649,0.00683,0.00101873,0.00101873,0.00101873
60,653.06,1.30965,0.97016,0.00527,0.71259,0.71147,0.74297,0.39651,1.69883,1.22882,0.00718,0.00101166,0.00101166,0.00101166
61,663.998,1.29971,0.95569,0.00528,0.62278,0.74185,0.70352,0.38954,1.69481,1.39503,0.00702,0.00100459,0.00100459,0.00100459
62,675.18,1.27921,0.92291,0.00521,0.64794,0.69459,0.69963,0.38292,1.73563,1.35804,0.00729,0.000997513,0.000997513,0.000997513
63,685.898,1.28037,0.93177,0.00521,0.66665,0.6836,0.69813,0.38363,1.6907,1.57409,0.00706,0.00099044,0.00099044,0.00099044
64,696.224,1.29334,0.94156,0.0052,0.64329,0.69094,0.70387,0.38936,1.67983,1.749,0.00697,0.000983366,0.000983366,0.000983366
65,706.785,1.26535,0.90528,0.0051,0.56282,0.67292,0.60131,0.32233,1.74313,1.93604,0.00719,0.000976293,0.000976293,0.000976293
66,717.366,1.29141,0.92011,0.00521,0.65312,0.70447,0.68695,0.38312,1.69573,1.4332,0.00694,0.000969219,0.000969219,0.000969219
67,728.76,1.27585,0.88944,0.00514,0.57239,0.66373,0.61353,0.34277,1.69178,1.68069,0.007,0.000962146,0.000962146,0.000962146
68,739.404,1.28913,0.94699,0.00518,0.63187,0.66346,0.67256,0.37576,1.65712,1.45218,0.00677,0.000955072,0.000955072,0.000955072
69,750.014,1.27071,0.87208,0.00516,0.62463,0.71306,0.67312,0.37087,1.71042,1.48938,0.00711,0.000947999,0.000947999,0.000947999
70,760.363,1.28919,0.90131,0.00525,0.61805,0.62764,0.61537,0.3379,1.69465,2.0616,0.00695,0.000940925,0.000940925,0.000940925
71,771.042,1.26151,0.87664,0.00506,0.58177,0.69286,0.6395,0.35435,1.68812,1.74735,0.00696,0.000933851,0.000933851,0.000933851
72,781.862,1.24463,0.88674,0.00503,0.68073,0.70863,0.71694,0.4004,1.71092,1.42142,0.00717,0.000926778,0.000926778,0.000926778
73,792.772,1.2568,0.8793,0.00511,0.63017,0.6605,0.64391,0.35983,1.72036,1.81235,0.00705,0.000919704,0.000919704,0.000919704
74,803.78,1.2355,0.86717,0.00496,0.62282,0.735,0.69088,0.39383,1.66448,1.50941,0.00685,0.000912631,0.000912631,0.000912631
75,814.263,1.2273,0.84929,0.00491,0.6954,0.72483,0.71957,0.40349,1.71271,1.34888,0.00719,0.000905557,0.000905557,0.000905557
76,825.541,1.2364,0.85202,0.0049,0.63475,0.67929,0.68231,0.38961,1.68237,1.59395,0.00701,0.000898484,0.000898484,0.000898484
77,836.364,1.1974,0.80752,0.00482,0.66783,0.68517,0.69145,0.39557,1.63506,1.49594,0.00678,0.00089141,0.00089141,0.00089141
78,846.812,1.1972,0.80759,0.00477,0.6272,0.67806,0.66994,0.37791,1.68923,1.55026,0.00703,0.000884337,0.000884337,0.000884337
79,857.256,1.23349,0.84679,0.00496,0.63603,0.69319,0.69928,0.39821,1.67722,1.4432,0.00696,0.000877263,0.000877263,0.000877263
80,868.187,1.18148,0.78772,0.00474,0.66729,0.67007,0.68682,0.38297,1.67554,1.55888,0.0069,0.00087019,0.00087019,0.00087019
81,878.938,1.20467,0.79581,0.00485,0.70522,0.69923,0.73076,0.42427,1.63397,1.37357,0.00672,0.000863116,0.000863116,0.000863116
82,889.393,1.21693,0.83467,0.00491,0.64361,0.70816,0.6939,0.38628,1.6909,1.45919,0.00698,0.000856042,0.000856042,0.000856042
